HostName,Name,IP_DESCRIPTION,DefinitionRecord,IP_PLANT_AREA,IP_ENG_UNITS,IP_VALUE_FORMAT,IP_DC_SIGNIFICANCE,IP_DC_MAX_TIME_INT,IP_GRAPH_MAXIMUM,IP_GRAPH_MINIMUM,IP_STEPPED,IP_MESSAGE_SWITCH,IP_HIGH_HIGH_LIMIT,IP_HIGH_LIMIT,IP_LOW_LIMIT,IP_LOW_LOW_LIMIT,IP_LIMIT_DEADBAND,IP_TREND_VIEW_TIME,IP_REPOSITORY,IP_ARCHIVING,IP_BF_REPOSITORY,IP_BF_ARCHIVING,IP_#_OF_TREND_VALUES,IP_#_OF_BF_VALUES,CIMIO_Definition,CIMIO_Name,CIMIO_IO_RECORD_PROCESSING,CIM_IO_ASYNC,CIMIO_IO_TIMEOUT_VALUE,CIMIO_IO_FREQUENCY,CIMIO_TAG_IO_DATA_TYPE,CIMIO_TAG_IO_VALUE_RECORD,CIMIO_ORIGINAL_Name,IP_VALUE_TIME,IP_VALUE
BEJEMMS01-SV01,FIDJ722A,Q regarnis navette eau chaude,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.20000000298023224,360000.0,200.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FIDJ722A IP_INPUT_VALUE,FIDJ722A,2016-04-07 01:30:41.400,0.0
BEJEMMS01-SV01,TIHP2719H,Température H2O2 production H27,IP_SLV_ADef,H2O2,°C,F 7. 2,0.009999999776482582,360000.0,100.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,IO1-5-1,1,1,150,50,0,TIHP2719H IP_INPUT_VALUE,TIHP2719H,2025-06-24 23:25:49.200,23.3281307220459
BEJEMMS01-SV01,FIG2733A,Debit regarnissage Saline,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.05000000074505806,360000.0,50.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FIG2733A IP_INPUT_VALUE,FIG2733A,2016-04-07 01:30:41.400,0.0
BEJEMMS01-SV01,FIP2102A,"Débit ED vers neutral,",IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.10000000149011612,360000.0,100.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FIP2102A IP_INPUT_VALUE,FIP2102A,2016-04-07 07:13:51.800,0.01525995321571827
BEJEMMS01-SV01,FIP2102B,"Débit NaOH vers neutral,",IP_SLV_ADef,UPHCL,m3/h,F 7. 3,0.005499999970197678,360000.0,5.5,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FIP2102B IP_INPUT_VALUE,FIP2102B,2016-04-07 08:55:07.900,0.14298662543296814
BEJEMMS01-SV01,FIP2104,Débit vers digue,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.11999999731779099,360000.0,120.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FIP2104 IP_INPUT_VALUE,FIP2104,2016-04-07 08:23:33.000,0.0
BEJEMMS01-SV01,FIP2104A,Débit soude fosse eau ch,IP_SLV_ADef,UPHCL,t/h,F 7. 3,0.003000000026077032,360000.0,3.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FIP2104A IP_INPUT_VALUE,FIP2104A,2016-04-07 08:24:03.100,0.0
BEJEMMS01-SV01,AIHE2717B,Titre H2O2 distillée (Coriolis),IP_SLV_ADef,H2O2,kg/m3,F 7.1,0.009999999776482582,360000.0,1500.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,IO1-5-1,1,1,150,50,0,AIHE2717B IP_INPUT_VALUE,AIHE2717B,2025-06-24 23:25:54.300,1142.9388427734375
BEJEMMS01-SV01,FIP2213,"Débit recylage rés,effts",IP_SLV_ADef,UPHCL,kg/h,F 7.1,1.0,360000.0,1000.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FIP2213 IP_INPUT_VALUE,FIP2213,2016-04-07 08:56:23.100,227.42906188964844
BEJEMMS01-SV01,FIP2715A,Q effts alc > PVC,IP_SLV_ADef,UPHCL,m3/h,F 7. 3,0.003800000064074993,360000.0,3.799999952316284,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FIP2715A IP_INPUT_VALUE,FIP2715A,2016-04-07 08:53:37.700,0.0
